question_type,question,answer,player_id,player_name,club_id,club_name,country_id,country_name,reasoning_path
pattern_a_team_country,Which country is the team of ali osman renklibay in?,turkiye,Q2484717,ali osman renklibay,Q1057881,Ceyhanspor,Q43,turkiye,ali osman renklibay --[member of sports team]--> Ceyhanspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of ahmet suat özyazıcı in?,turkiye,Q356591,ahmet suat özyazıcı,Q10799295,Trabzon İdmanocağı,Q43,turkiye,ahmet suat özyazıcı --[member of sports team]--> Trabzon İdmanocağı --[country]--> turkiye
pattern_a_team_country,Which country is the team of i̇brahim halil yaşar in?,turkiye,Q3612815,i̇brahim halil yaşar,Q11183744,Kirikhanspor,Q43,turkiye,i̇brahim halil yaşar --[member of sports team]--> Kirikhanspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Güven Gürsoy in?,turkiye,Q5627174,Güven Gürsoy,Q11183744,Kirikhanspor,Q43,turkiye,Güven Gürsoy --[member of sports team]--> Kirikhanspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Bulut Basmaz in?,turkiye,Q1004726,Bulut Basmaz,Q1127498,sanica boru elâzığspor,Q43,turkiye,Bulut Basmaz --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of i̇lker erbay in?,turkiye,Q10434601,i̇lker erbay,Q1127498,sanica boru elâzığspor,Q43,turkiye,i̇lker erbay --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Yunus Altun in?,turkiye,Q10507034,Yunus Altun,Q1127498,sanica boru elâzığspor,Q43,turkiye,Yunus Altun --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of deniz aslan in?,turkiye,Q1187832,deniz aslan,Q1127498,sanica boru elâzığspor,Q43,turkiye,deniz aslan --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Murat Kayalı in?,turkiye,Q1230804,Murat Kayalı,Q1127498,sanica boru elâzığspor,Q43,turkiye,Murat Kayalı --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of gokhan emreciksin in?,turkiye,Q1253508,gokhan emreciksin,Q1127498,sanica boru elâzığspor,Q43,turkiye,gokhan emreciksin --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of alper kalemci in?,turkiye,Q1268421,alper kalemci,Q1127498,sanica boru elâzığspor,Q43,turkiye,alper kalemci --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Murat Akyuez in?,turkiye,Q1290838,Murat Akyuez,Q1127498,sanica boru elâzığspor,Q43,turkiye,Murat Akyuez --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Erdinc Yavuz in?,turkiye,Q1349279,Erdinc Yavuz,Q1127498,sanica boru elâzığspor,Q43,turkiye,Erdinc Yavuz --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Eren Aydin in?,turkiye,Q1349995,Eren Aydin,Q1127498,sanica boru elâzığspor,Q43,turkiye,Eren Aydin --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Sinan Kaloglu in?,turkiye,Q1396846,Sinan Kaloglu,Q1127498,sanica boru elâzığspor,Q43,turkiye,Sinan Kaloglu --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of goksu turkdogan in?,turkiye,Q1401074,goksu turkdogan,Q1127498,sanica boru elâzığspor,Q43,turkiye,goksu turkdogan --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Ferhat Odabaşı in?,turkiye,Q1406254,Ferhat Odabaşı,Q1127498,sanica boru elâzığspor,Q43,turkiye,Ferhat Odabaşı --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Yavuz Eraydin in?,turkiye,Q1419830,Yavuz Eraydin,Q1127498,sanica boru elâzığspor,Q43,turkiye,Yavuz Eraydin --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of erol erdal alkan in?,turkiye,Q15651896,erol erdal alkan,Q1127498,sanica boru elâzığspor,Q43,turkiye,erol erdal alkan --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of hasan hakan hacıbektaşoğlu in?,turkiye,Q1569824,hasan hakan hacıbektaşoğlu,Q1127498,sanica boru elâzığspor,Q43,turkiye,hasan hakan hacıbektaşoğlu --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of hakan söyler in?,turkiye,Q1569840,hakan söyler,Q1127498,sanica boru elâzığspor,Q43,turkiye,hakan söyler --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of halil akbunar in?,turkiye,Q1571109,halil akbunar,Q1127498,sanica boru elâzığspor,Q43,turkiye,halil akbunar --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of çağlayan alpsatan in?,turkiye,Q15855969,çağlayan alpsatan,Q1127498,sanica boru elâzığspor,Q43,turkiye,çağlayan alpsatan --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of muhammed ali doğan in?,turkiye,Q15879323,muhammed ali doğan,Q1127498,sanica boru elâzığspor,Q43,turkiye,muhammed ali doğan --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Veysel Aksu in?,turkiye,Q1622596,Veysel Aksu,Q1127498,sanica boru elâzığspor,Q43,turkiye,Veysel Aksu --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Muhammet Akyildiz in?,turkiye,Q16909049,Muhammet Akyildiz,Q1127498,sanica boru elâzığspor,Q43,turkiye,Muhammet Akyildiz --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of kemal tokak in?,turkiye,Q1699998,kemal tokak,Q1127498,sanica boru elâzığspor,Q43,turkiye,kemal tokak --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Köksal Yedek in?,turkiye,Q1748946,Köksal Yedek,Q1127498,sanica boru elâzığspor,Q43,turkiye,Köksal Yedek --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of çağlar şahin akbaba in?,turkiye,Q18030084,çağlar şahin akbaba,Q1127498,sanica boru elâzığspor,Q43,turkiye,çağlar şahin akbaba --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,"Which country is the team of Kilinc, David in?",turkiye,Q18411280,"Kilinc, David",Q1127498,sanica boru elâzığspor,Q43,turkiye,"Kilinc, David --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye"
pattern_a_team_country,Which country is the team of Zeki Korkmaz in?,turkiye,Q187264,Zeki Korkmaz,Q1127498,sanica boru elâzığspor,Q43,turkiye,Zeki Korkmaz --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of mehmet al in?,turkiye,Q1917306,mehmet al,Q1127498,sanica boru elâzığspor,Q43,turkiye,mehmet al --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Mehmet Turkmehmet in?,turkiye,Q1917362,Mehmet Turkmehmet,Q1127498,sanica boru elâzığspor,Q43,turkiye,Mehmet Turkmehmet --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of sözgelmez in?,turkiye,Q1953556,sözgelmez,Q1127498,sanica boru elâzığspor,Q43,turkiye,sözgelmez --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of miško mirkovic in?,turkiye,Q1985766,miško mirkovic,Q1127498,sanica boru elâzığspor,Q43,turkiye,miško mirkovic --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Kulbilge in?,turkiye,Q2000793,Kulbilge,Q1127498,sanica boru elâzığspor,Q43,turkiye,Kulbilge --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of nurullah saglam in?,turkiye,Q2005435,nurullah saglam,Q1127498,sanica boru elâzığspor,Q43,turkiye,nurullah saglam --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of oguzhan bahadir in?,turkiye,Q2043180,oguzhan bahadir,Q1127498,sanica boru elâzığspor,Q43,turkiye,oguzhan bahadir --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Richard Kingson in?,turkiye,Q217097,Richard Kingson,Q1127498,sanica boru elâzığspor,Q43,turkiye,Richard Kingson --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Bahadir Ozturk in?,turkiye,Q22342693,Bahadir Ozturk,Q1127498,sanica boru elâzığspor,Q43,turkiye,Bahadir Ozturk --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,"Which country is the team of ağçay, sedat in?",turkiye,Q2264245,"ağçay, sedat",Q1127498,sanica boru elâzığspor,Q43,turkiye,"ağçay, sedat --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye"
pattern_a_team_country,Which country is the team of tolga özgen in?,turkiye,Q2439273,tolga özgen,Q1127498,sanica boru elâzığspor,Q43,turkiye,tolga özgen --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of zulkuf ozer in?,turkiye,Q248064,zulkuf ozer,Q1127498,sanica boru elâzığspor,Q43,turkiye,zulkuf ozer --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
