question_type,question,answer,player_id,player_name,club_id,club_name,city_id,city_name,reasoning_path
pattern_b_team_city,In which city is the team of ahmet suat özyazıcı headquartered?,history of trabzon,Q356591,ahmet suat özyazıcı,Q10799295,Trabzon İdmanocağı,Q45301,history of trabzon,ahmet suat özyazıcı --[member of sports team]--> Trabzon İdmanocağı --[headquarters location]--> history of trabzon
pattern_b_team_city,In which city is the team of Bulut Basmaz headquartered?,mamuretuelaziz,Q1004726,Bulut Basmaz,Q1127498,sanica boru elâzığspor,Q174060,mamuretuelaziz,Bulut Basmaz --[member of sports team]--> sanica boru elâzığspor --[headquarters location]--> mamuretuelaziz
pattern_b_team_city,In which city is the team of i̇lker erbay headquartered?,mamuretuelaziz,Q10434601,i̇lker erbay,Q1127498,sanica boru elâzığspor,Q174060,mamuretuelaziz,i̇lker erbay --[member of sports team]--> sanica boru elâzığspor --[headquarters location]--> mamuretuelaziz
pattern_b_team_city,In which city is the team of Yunus Altun headquartered?,mamuretuelaziz,Q10507034,Yunus Altun,Q1127498,sanica boru elâzığspor,Q174060,mamuretuelaziz,Yunus Altun --[member of sports team]--> sanica boru elâzığspor --[headquarters location]--> mamuretuelaziz
pattern_b_team_city,In which city is the team of deniz aslan headquartered?,mamuretuelaziz,Q1187832,deniz aslan,Q1127498,sanica boru elâzığspor,Q174060,mamuretuelaziz,deniz aslan --[member of sports team]--> sanica boru elâzığspor --[headquarters location]--> mamuretuelaziz
pattern_b_team_city,In which city is the team of Murat Kayalı headquartered?,mamuretuelaziz,Q1230804,Murat Kayalı,Q1127498,sanica boru elâzığspor,Q174060,mamuretuelaziz,Murat Kayalı --[member of sports team]--> sanica boru elâzığspor --[headquarters location]--> mamuretuelaziz
pattern_b_team_city,In which city is the team of gokhan emreciksin headquartered?,mamuretuelaziz,Q1253508,gokhan emreciksin,Q1127498,sanica boru elâzığspor,Q174060,mamuretuelaziz,gokhan emreciksin --[member of sports team]--> sanica boru elâzığspor --[headquarters location]--> mamuretuelaziz
pattern_b_team_city,In which city is the team of alper kalemci headquartered?,mamuretuelaziz,Q1268421,alper kalemci,Q1127498,sanica boru elâzığspor,Q174060,mamuretuelaziz,alper kalemci --[member of sports team]--> sanica boru elâzığspor --[headquarters location]--> mamuretuelaziz
pattern_b_team_city,In which city is the team of Murat Akyuez headquartered?,mamuretuelaziz,Q1290838,Murat Akyuez,Q1127498,sanica boru elâzığspor,Q174060,mamuretuelaziz,Murat Akyuez --[member of sports team]--> sanica boru elâzığspor --[headquarters location]--> mamuretuelaziz
pattern_b_team_city,In which city is the team of Erdinc Yavuz headquartered?,mamuretuelaziz,Q1349279,Erdinc Yavuz,Q1127498,sanica boru elâzığspor,Q174060,mamuretuelaziz,Erdinc Yavuz --[member of sports team]--> sanica boru elâzığspor --[headquarters location]--> mamuretuelaziz
pattern_b_team_city,In which city is the team of Eren Aydin headquartered?,mamuretuelaziz,Q1349995,Eren Aydin,Q1127498,sanica boru elâzığspor,Q174060,mamuretuelaziz,Eren Aydin --[member of sports team]--> sanica boru elâzığspor --[headquarters location]--> mamuretuelaziz
pattern_b_team_city,In which city is the team of Sinan Kaloglu headquartered?,mamuretuelaziz,Q1396846,Sinan Kaloglu,Q1127498,sanica boru elâzığspor,Q174060,mamuretuelaziz,Sinan Kaloglu --[member of sports team]--> sanica boru elâzığspor --[headquarters location]--> mamuretuelaziz
